origin,destination,trip_count,shortest_path,origin_osm_node
6839.10,7453.01,13.0,"[4347534767, 42430394, 42423674, 4347550074, 11225191374, 4347550071, 4347550065, 9446375824, 42421969, 5706568625, 42435253, 42435257, 7802856365, 7802856352, 7802856370, 7802856341, 7802856349, 7802856372, 7802856356, 42435272, 42435275, 42432556, 42435283, 42435295, 42435301, 42424225, 42427915, 42433564, 42435308, 42421800, 42424851, 7106818626, 7106818623, 7106818627, 42421993, 42431447, 42435316]",4347534767
4789.03,4710.06,13.0,"[42517597, 42517600, 3026465379, 6224367582, 2842882700, 9907586242, 598043776, 9201526517, 42530376, 42492415, 4619812742, 278632503, 11381945330, 42497737, 42481889]",42517597
4590.01,4374.01,13.0,,10107930167
6004.07,6046.02,13.0,"[42455897, 5278159383, 42442891]",42455897
5553.21,5515.08,13.0,"[42437343, 42455051, 42455083]",42437343
7713.01,7713.01,13.0,[561035334],561035334
5944.01,6170.02,13.0,"[42520827, 2629142962, 42520825, 4833594459, 42535632, 277046418, 597261862, 42832453, 2799469684, 42844233, 42836093, 42826923, 6795905097]",42520827
5863.07,5755.14,13.0,"[5481911751, 42431453, 42431452, 4597668035, 42428493, 42438784, 42436935, 42429373, 42439070, 42449067, 42430857, 42421877, 8475999052, 8475999051, 42437949, 6255601608, 6255601607, 42456303]",5481911751
5696.03,5329.03,13.0,"[2562448026, 9609713330, 2562448041, 246879394, 607906596, 246866828]",2562448026
6422.09,6422.08,13.0,"[42442943, 42442939]",42442943
5509.02,5578.02,13.0,"[42440916, 42438060, 42436021, 42445171, 42436073]",42440916
5125.03,5414.06,13.0,"[8842464593, 486876882, 486869939, 486868138, 42429782, 42429773, 42429769, 42429766, 486868830, 42437108, 42437109]",8842464593
6762.04,6762.04,13.0,[42449982],42449982
5073.07,5145.02,13.0,"[42436181, 42446622, 42456888, 42434412, 42434413, 42436192, 42436187]",42436181
3344.02,3344.02,13.0,[1942053751],1942053751
6824.07,6747.07,13.0,"[42452365, 42443534, 42432598, 42440170, 42440163, 5481883912, 42435684, 8704367788, 8704367789]",42452365
7323.09,6876.04,13.0,"[42454189, 42429314, 42449187, 42435497, 42448203, 42439389, 42452951, 42438485, 5618091325, 7785624675, 7076310729, 7076310731, 42440397, 42436911, 42446455, 42454679, 42430050, 42439553, 42438788, 42436475, 42445225, 42429680, 42455693, 42431671, 42437423, 42447228, 42455662, 42431649, 42429970, 42456683, 42436510, 4347534783, 4347534768, 3377461259, 4347534767, 42430394]",42454189
5436.11,5436.11,13.0,[42449874],42449874
